Номер дома;Общая площадь, кв,м,;Комнатность;Этаж;Секция;Линия;Студия;Количество сан узлов;Размер сан узла №1;Тип санузла 1;Размер сан узла №2;Тип санузла 2;Размер коридора;Гардеробная;Кухня;Количество балконов;Размер балкона №1;Размер балкона №2;Размер балкона №3;Жилая площадь за кв,м,;Размер 1-й комнаты;Размер 2-й комнаты;Размер 3-й комнаты;Размер 4-й комнаты;Ценазакв,м,;Ценазапомещение,тг.;Статус;Площадь гардеробных;Месяц продажи;Год продажи;планировка_1;планировка_2
7;33.4;1ккв;18;1;3;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.3;1.0;10.8;1.0;3.5;0.0;3.6;12.1;12.1;0.0;0.0;0.0;134545.0;4493803.0;Продажа;2.2;11;2019;Л;Н
7;58.3;2ккв;18;1;4;0;1.0;4.3;нет данных;0.0;Санузел отсутствует;8.3;1.0;14.4;2.0;3.0;3.0;3.6;25.6;12.2;13.4;0.0;0.0;105643.779931389;6159032.37;Продажа;2.7;11;2019;Р;ДН
7;89.0;4ккв;19;1;1;0;2.0;4.4;нет данных;1.5;нет данных;11.1;1.0;18.4;3.0;4.2;7.6;3.2;46.7;10.6;11.6;12.0;12.5;105147.0;9358083.0;Стр. Резерв;2.1;12;2019;Т;СД
7;34.3;1ккв;19;1;2;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.9;1.0;10.4;1.0;6.9;0.0;3.6;11.6;11.6;0.0;0.0;0.0;136031.0;4665863.3;Стр. Резерв;2.7;12;2019;Л;Н
7;33.4;1ккв;19;1;3;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.3;1.0;10.8;1.0;3.5;0.0;3.6;12.1;12.1;0.0;0.0;0.0;136070.0;4544738.0;Стр. Резерв;2.2;12;2019;Л;Н
7;58.3;2ккв;19;1;4;0;1.0;4.3;нет данных;0.0;Санузел отсутствует;8.3;1.0;14.4;2.0;3.0;3.0;3.6;25.6;12.2;13.4;0.0;0.0;98700.0;5754210.0;Продажа;2.7;8;2019;Р;ДН
7;89.0;4ккв;20;1;1;0;2.0;4.4;нет данных;1.5;нет данных;11.1;1.0;18.4;3.0;4.2;8.6;3.2;46.7;10.6;11.6;12.0;12.5;105289.0;9370721.0;Стр. Резерв;2.1;12;2019;Т;СД
7;34.3;1ккв;20;1;2;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.9;1.0;10.4;1.0;6.9;0.0;3.6;11.6;11.6;0.0;0.0;0.0;136223.0;4672448.9;Стр. Резерв;2.7;12;2019;Л;Н
7;33.4;1ккв;20;1;3;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.3;1.0;10.8;1.0;3.5;0.0;3.6;12.1;12.1;0.0;0.0;0.0;136262.0;4551150.8;Стр. Резерв;2.2;12;2019;Л;Н
7;58.3;2ккв;20;1;4;0;1.0;4.3;нет данных;0.0;Санузел отсутствует;8.3;1.0;14.4;2.0;3.0;3.0;3.6;25.6;12.2;13.4;0.0;0.0;97896.0;5707336.8;Продажа;2.7;7;2019;Р;ДН
7;89.0;4ккв;21;1;1;0;2.0;4.4;нет данных;1.5;нет данных;11.1;1.0;18.4;3.0;4.2;9.6;3.2;46.7;10.6;11.6;12.0;12.5;105433.0;9383537.0;Стр. Резерв;2.1;12;2019;Т;СД
7;34.3;1ккв;21;1;2;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.9;1.0;10.4;1.0;6.9;0.0;3.6;11.6;11.6;0.0;0.0;0.0;136412.0;4678931.6;Стр. Резерв;2.7;12;2019;Л;Н
7;33.4;1ккв;21;1;3;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.3;1.0;10.8;1.0;3.5;0.0;3.6;12.1;12.1;0.0;0.0;0.0;136450.0;4557430.0;Стр. Резерв;2.2;12;2019;Л;Н
7;58.3;2ккв;21;1;4;0;1.0;4.3;нет данных;0.0;Санузел отсутствует;8.3;1.0;14.4;2.0;3.0;3.0;3.6;25.6;12.2;13.4;0.0;0.0;107684.0;6277977.2;Стр. Резерв;2.7;12;2019;Р;ДН
